Wavelength_microns Throughput
2.565988502 0.47314723815782916
2.567339733 0.47212951297987266
2.5686909649999996 0.4703941148643697
2.5700421959999997 0.46868073145578876
2.571393428 0.4691615301557243
2.572744659 0.4670242148757246
2.574095891 0.4660265489263841
2.575447122 0.46596040310742226
2.576798354 0.46422696556074117
2.5781495850000002 0.4641498394480474
2.5795008160000004 0.4639337157879061
2.580852048 0.4627346283137019
2.582203279 0.4630519358305301
2.583554511 0.46179062047933905
2.584905742 0.4631166953763227
2.586256974 0.4640118985104411
2.587608205 0.4641822905459858
2.588959437 0.46571505271611235
2.590310668 0.467324594419123
2.591661899 0.46865250874135583
2.593013131 0.4693967829504885
2.594364362 0.4668836656132729
2.5957155939999996 0.46972242560553806
2.5970668249999997 0.47438711464535227
2.598418057 0.47738847433058096
2.599769288 0.479277656415162
2.601120519 0.4798739062031098
2.602471751 0.4808829684185574
2.603822982 0.48146306713659026
2.6051742140000003 0.48102675754781377
2.6065254450000004 0.4832665153862866
2.607876677 0.48453473285377746
2.609227908 0.4852071284386473
2.61057914 0.48623256218559086
2.611930371 0.48688106196054315
2.613281602 0.4864009611047024
2.614632834 0.48661603558081296
2.615984065 0.4856059462664439
2.617335297 0.48543347153153615
2.618686528 0.4878871751737081
2.62003776 0.4862194438626207
2.621388991 0.48740508873110944
2.622740222 0.4882343445275583
2.6240914539999998 0.4878411334573183
2.625442685 0.48665263342518683
2.626793917 0.4847094075193416
2.628145148 0.4855389459915023
2.62949638 0.48360367888508676
2.630847611 0.48194193600421986
2.6321988430000003 0.4832623257087748
2.6335500740000004 0.48201760566574775
2.634901305 0.48219804595424987
2.636252537 0.48203634937407663
2.637603768 0.4814007771351069
2.6389549999999997 0.480806220999112
2.640306231 0.4802373492908407
2.641657463 0.4795204950195698
2.643008694 0.47930925094422694
2.6443599250000003 0.47899055633324633
2.645711157 0.47813785566553124
2.6470623879999997 0.4787876653561975
2.64841362 0.47908293928378326
2.649764851 0.47924384404561265
2.651116083 0.47804880560576507
2.652467314 0.4773734603740029
2.653818546 0.47881895360158305
2.6551697770000002 0.4787007786513069
2.6565210080000004 0.479425544797102
2.65787224 0.4800063716651868
2.659223471 0.47947423014696366
2.6605747030000004 0.4797381666142101
2.6619259339999997 0.4796095071764906
2.663277166 0.4800394856295445
2.664628397 0.4781307176226673
2.6659796289999997 0.4781233224260614
2.66733086 0.4787640648128745
2.668682091 0.4812817918209901
2.670033323 0.47853377803372277
2.6713845540000003 0.4803784429407752
2.672735786 0.48225931646005543
2.6740870169999997 0.4824156510833752
2.675438249 0.4813568382358089
2.67678948 0.4805987987231879
2.678140711 0.4814147010193855
2.679491943 0.48129080349699244
2.680843174 0.48294824901365924
2.6821944060000003 0.48273410315762794
2.6835456370000004 0.481412332603799
2.684896869 0.4815682437565086
2.6862481 0.4810923435771344
2.6875993319999996 0.4816422536272503
2.6889505629999997 0.4813542841416597
2.690301794 0.4813470324078926
